id;data;cidade_origem;uf_origem;base_origem;nf;valor_da_nota;volumes;peso_real;peso_cubado;cidade_destino;uf_destino;base;setor;frete_peso;seguro;total_frete
19441;2024-12-01;"SAO PAULO";SP;SAO;1020;6177,96;62;251,92;251,92;BAGE;RS;RGS;PET;544,28;18,53;562,82
19442;2024-12-01;"SAO PAULO";SP;SAO;1020;7860,92;94;318,18;318,18;CAMPINAS;SP;SPO;DOC;377,71;23,58;401,29
19443;2024-12-01;"SAO PAULO";SP;SAO;1020;7370,16;105;326,09;326,09;SOROCABA;SP;SPO;DOC;385,62;22,11;407,73
19444;2024-12-01;"SAO PAULO";SP;SAO;1020;12203,08;159;531,2;531,2;TAUBATE;SP;SPO;DOC;590,73;36,61;627,34
19445;2024-12-01;"SAO PAULO";SP;SAO;1020;5791,36;74;273,14;273,14;JABOTICABAL;SP;SPO;DVT;332,67;17,37;350,05
19446;2024-12-01;"SAO PAULO";SP;SAO;1020;3635,55;67;231,89;231,89;"SANTA ROSA";RS;RGS;GEL;504,64;10,91;515,54
19447;2024-12-01;"SAO PAULO";SP;SAO;1020;5533,34;77;271,56;271,56;LINS;SP;SPO;DVT;331,09;16,6;347,69
19448;2024-12-01;"SAO PAULO";SP;SAO;1020;6234,92;64;216,48;216,48;ARARAQUARA;SP;SPO;DVT;276,01;18,7;294,71
19449;2024-12-01;"SAO PAULO";SP;SAO;1020;5188,36;65;232,45;232,45;BOTUCATU;SP;SPO;DVT;291,98;15,57;307,54
19450;2024-12-01;"SAO PAULO";SP;SAO;1020;6593,56;89;293,17;293,17;"RIBEIRAO PRETO";SP;SPO;DVT;352,7;19,78;372,48
19451;2024-12-01;"SAO PAULO";SP;SAO;1020;3158,4;50;270,25;270,25;"PRESIDENTE PRUDENTE";SP;SPO;DVT;329,78;9,48;339,25
19452;2024-12-01;"SAO PAULO";SP;SAO;1020;5571,44;75;252,95;252,95;"RIBEIRAO PRETO";SP;SPO;DVT;312,48;16,71;329,19
19453;2024-12-01;"SAO PAULO";SP;SAO;1020;10973,36;171;556,06;556,06;CURITIBA;PR;CWB;URB;531,99;32,92;564,91
19454;2024-12-01;"SAO PAULO";SP;SAO;1020;6434,08;116;402,26;402,26;"GUARANI DAS MISSOES";RS;RGS;GEL;841,96;19,3;861,27
19455;2024-12-01;"SAO PAULO";SP;SAO;1020;7529,2;93;327,1;327,1;LINS;SP;SPO;DVT;386,63;22,59;409,21
19456;2024-12-01;"SAO PAULO";SP;SAO;1020;3128,12;44;112,85;112,85;"RIBEIRAO PRETO";SP;SPO;DVT;172,38;9,38;181,76
19457;2024-12-01;"SAO PAULO";SP;SAO;1020;8839,52;121;338,75;338,75;HORTOLANDIA;SP;SPO;DOC;398,28;26,52;424,8
19458;2024-12-01;"SAO PAULO";SP;SAO;1020;13047,33;165;586,41;586,41;CURITIBA;PR;CWB;URB;559,61;39,14;598,75
19459;2024-12-01;"SAO PAULO";SP;SAO;1020;4382,03;77;190,08;190,08;"SAO MIGUEL DO OESTE";SC;XAP;SMO;297,56;13,15;310,71
